event_name,county,city,month,date_or_date_range,category,expected_visitor_level,official_website,reference_site_1,reference_site_2,reference_site_3,instagram,tiktok,facebook,youtube
Monterey Jazz Festival (MJF69),Monterey,Monterey (Monterey County Fairgrounds),September,"September 25-27, 2026",Music Festival,Very High,https://montereyjazz.org/,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://www.montereyhotel.com/local-events,https://en.wikipedia.org/wiki/Monterey_Jazz_Festival,https://www.instagram.com/montereyjazzfestival/,,https://www.facebook.com/MontereyJazzFestival/,https://www.youtube.com/user/MontereyJazzFestival
California International Airshow Salinas (45th Annual),Monterey,Salinas (Salinas Municipal Airport),September,"September 26-27, 2026",Airshow / Sports,Very High,https://www.salinasairshow.com/,https://www.salinas.gov/Events/Salinas-Airshow-Event,https://www.seemonterey.com/event/california-international-airshow-salinas/,https://www.eventsprout.com/event/cias-2026,,,,
Carmel International Film Festival,Monterey,Carmel-by-the-Sea,October,"October 1-4, 2026",Film Festival,Moderate,,https://www.carmelcalifornia.com/annual-events-in-carmel-by-the-sea/,https://business.pacificgrove.org/events,,,,,
Laguna Seca SpeedTour (Trans-Am),Monterey,Salinas (WeatherTech Raceway Laguna Seca),October,"October 2-4, 2026",Motorsports,Moderate,https://weathertechraceway.com/,https://www.weathertechracing.com/2026-full-schedule,,,,,,
Pacific Grove Butterfly Parade & Bazaar,Monterey,Pacific Grove,October,"October 3, 2026",Parade / Community,High,,https://business.pacificgrove.org/events,https://www.oldmontereyinn.com/october-event-in-monterey-magic-of-fall-by-the-coast/,,,,,
Butterfly Days Sunset Celebration at Point Pinos Lighthouse,Monterey,Pacific Grove (Point Pinos Lighthouse),October,"October 3, 2026",Community / Heritage,Local,,https://business.pacificgrove.org/events,,,,,,
Poodle Day,Monterey,Carmel-by-the-Sea / Carmel (The Crossroads & Carmel Beach),October,"October 3, 2026",Community / Pet Event,Moderate,https://poodleday.com/,https://whatsupmonterey.com/events/community-events/poodle-day/2477,https://www.bringfido.com/event/17410/,,,,,
Meet the Makers Art & Wine Walk (7th Annual),Monterey,Carmel-by-the-Sea (Devendorf Park),October,"October 10, 2026",Art / Wine Walk,Moderate,,https://www.carmelcalifornia.com/annual-events-in-carmel-by-the-sea/,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,,,,,
Big Sur Food & Wine Festival,Monterey,Big Sur,November,"November 5-7, 2026",Food & Wine Festival,Moderate,https://www.bigsurfoodandwine.org/festival,https://www.seemonterey.com/event/big-sur-food-wine/,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,,,,https://www.facebook.com/BigSurFoodandWine/,
Monterey Bay Half Marathon,Monterey,Monterey / Pacific Grove,November,"November 8, 2026",Running / Sports,High,,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://www.seemonterey.com/events/annual-events/,,,,,
Christmas in the Adobes,Monterey,Monterey (historic downtown adobes),December,"December 11-12, 2026",Holiday / Heritage,High,https://www.mshpa.org/christmasintheadobes,https://whatsupmonterey.com/events/holiday-events/christmas-in-the-adobes/209,https://www.seemonterey.com/event/christmas-in-the-adobes/,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,,,,
First Night Monterey,Monterey,Monterey (Downtown),December,"December 31, 2026",New Year's Eve / Arts Festival,High,,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://www.seemonterey.com/events/annual-events/,,,,,
Cabrillo Festival of Contemporary Music (64th Season: 'We the Dreamers'),Santa Cruz,Santa Cruz (Santa Cruz Civic Auditorium),August,"July 26 - August 9, 2026",Music Festival,High,https://cabrillomusic.org/2026-season/,https://www.santacruz.org/upcoming-events/category/festival/,https://www.kalw.org/2026-04-08/santa-cruzs-cabrillo-festival-of-contemporary-music-announces-its-64th-season-we-the-dreamers,https://en.wikipedia.org/wiki/Cabrillo_Festival_of_Contemporary_Music,,,,
Annual Watsonville Strawberry Festival,Santa Cruz,Watsonville,August,"August 1-2, 2026",Food / Agricultural Festival,High,,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/watsonville-strawberry-festival/,,,,,
Scotts Valley 60th Anniversary Celebration at Skypark,Santa Cruz,Scotts Valley (Skypark),August,"August 2, 2026",Community Festival,Moderate,,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/skypark-scotts-valley-60th-celebration/,,,,,
Santa Cruz Jug Band Festival (2nd Annual),Santa Cruz,Santa Cruz (Abbott Square Market),August,"August 6, 2026",Music Festival,Local,,https://www.santacruz.org/upcoming-events/category/festival/,https://allevents.in/santa-cruz/festivals,,,,,
Church Street Fair,Santa Cruz,"Santa Cruz (Church St., in front of Civic Auditorium)",August,"August 8-9, 2026",Street Fair / Arts,Moderate,http://www.churchstreetfair.org,https://www.santacruz.com/guides/santa-cruz-festivals-fairs,https://en.wikipedia.org/wiki/Cabrillo_Festival_of_Contemporary_Music,,,,,
Cabrillo Festival Free Family Orchestral Concert,Santa Cruz,Santa Cruz (Santa Cruz Civic Auditorium),August,"August 2, 2026",Music / Family,Local,https://cabrillomusic.org/2026-season/,https://www.santacruz.org/upcoming-events/category/festival/,,,,,,
Cabrillo Festival Grand Finale ('Hope as Our Banner'),Santa Cruz,Santa Cruz (Santa Cruz Civic Auditorium),August,"August 9, 2026",Music Festival,Moderate,https://cabrillomusic.org/2026-season/,https://www.santacruz.org/upcoming-events/category/festival/,https://cabrillomusic.org/cabrillo-festival-of-contemporary-music-announces-2026-season-we-the-dreamers/,,,,,
Hwy 17 Studios All-Star Food Fest,Santa Cruz,Santa Cruz,September,"September 5, 2026",Food Festival,Moderate,,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/hwy-17-studios-all-star-food-fest/,,,,,
Capitola Art & Wine Festival (43rd Annual),Santa Cruz,Capitola (Capitola Village),September,"September 12-13, 2026",Art / Wine Festival,Very High,https://capitolaartandwine.com/,https://www.capitolachamber.com/art-and-wine-festival/,https://tpgonlinedaily.com/official-santa-cruz-county-summer-festivals-program-2026/,https://festivalnet.com/9163/Capitola-California/Wine-Beer-Events/Capitola-Art-Wine-Festival,https://www.instagram.com/capitolaartandwinefestival/,,https://www.facebook.com/CapitolaArtWineFestival/,
Santa Cruz County Fair ('Apple Pies and Starry Skies'),Santa Cruz,Watsonville (Santa Cruz County Fairgrounds),September,"September 16-20, 2026",County Fair,Very High,https://santacruzcountyfair.com/,https://www.santacruzcountyfair.com/news-releases/2026-santa-cruz-county-fair-theme-revealed,https://www.santacruz.org/upcoming-event/santa-cruz-county-fair-2/,https://www.bayareakidfun.com/bay-area-county-fairs/,,,https://www.facebook.com/santacruzcountyfair/,
Aloha Outrigger Races (34th Annual),Santa Cruz,Santa Cruz (Santa Cruz Wharf),September,"September 19, 2026",Sports / Cultural,Moderate,,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/santa-cruz-wharf-annual-aloha-outrigger-races/,,,,,
"Bonny Doon Art, Wine and Beer Festival",Santa Cruz,Bonny Doon (Santa Cruz),September,"September 19, 2026",Art / Wine / Beer Festival,Moderate,,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/bonny-doon-art-wine-and-beer-festival/,,,,,
Capitola Beach Festival ('Toy Takeover'),Santa Cruz,Capitola (Capitola Village & Beach),September,"September 26-27, 2026",Community / Beach Festival,High,https://capitolabeachfestival.com/,https://www.santacruz.org/upcoming-events/category/festival/,https://master.capitolachamber.com/events/details/capitola-beach-festival-4025,https://www.cityofcapitola.org/community/page/capitola-beach-festival-capitola-village,,,,
Open Studios Art Tour (41st Annual),Santa Cruz,"Countywide (Santa Cruz, Watsonville, Felton, Scotts Valley, Bonny Doon, Aptos)",October,,Art Tour,High,https://santacruzopenstudios.com,https://scal.org/open-studios-2026,https://www.santacruz.org/blog/your-guide-to-open-studios/,https://pajaronian.com/open-studios-art-tour-begin-saturday/,,,,
Downtown Santa Cruz Harvest Festival,Santa Cruz,Santa Cruz (Downtown),October,"October 3, 2026",Seasonal / Community Festival,Moderate,,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/downtown-santa-cruz-harvest-festival/,,,,,
Open Studios Satellite Preview Exhibit (Santa Cruz Art League),Santa Cruz,Santa Cruz (Santa Cruz Art League),October,"October 2-18, 2026",Art Exhibition,Local,https://scal.org/open-studios-satellite-2026,https://scal.org/upcoming-exhibitions/,,,,,,
Santa Cruz Film Festival 2026,Santa Cruz,Santa Cruz (various theaters),October,"October 14-18, 2026",Film Festival,Moderate,,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/various-sc-theaters-santa-cruz-film-festival-2026/,,,,,
Downtown Santa Cruz Halloween Mask Making Festival,Santa Cruz,Santa Cruz (London Nelson Community Center),October,"October 17, 2026",Halloween / Family,Moderate,,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/downtown-santa-cruz-halloween-mask-making-festival/,,,,,
Santa Cruz Comedy Festival,Santa Cruz,Santa Cruz (939 Pacific Ave),October,"October 17, 2026",Comedy Festival,Local,,https://allevents.in/santa-cruz/festivals,,,,,,
Santa Cruz Beach Boardwalk Halloween,Santa Cruz,Santa Cruz (Santa Cruz Beach Boardwalk),October,"October 31, 2026",Halloween / Family,High,https://beachboardwalk.com/,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/sc-beach-boardwalk-halloween/,,,,,
Santa Cruz Harbor Trick-Or-Treat (Haunted Harbor),Santa Cruz,Santa Cruz (Santa Cruz Harbor),October,"October 31, 2026",Halloween / Family,Moderate,,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/santa-cruz-harbor-trick-or-treat/,,,,,
Vampire Ball at Chaminade Resort & Spa,Santa Cruz,Santa Cruz (Chaminade Resort and Spa),October,"October 31, 2026",Halloween / Nightlife (21+),Local,,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/chaminade-resort-and-spa-vampire-ball/,,,,,
Watsonville Dia de Muertos Festival,Santa Cruz,Watsonville (Watsonville City Plaza),November,"November 1, 2026",Cultural Festival,High,https://watsonville.gov/,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/watsonville-plaza-dia-de-los-muertos/,https://festivalguidesandreviews.com/california-festivals/,,,,
Santa Cruz Sea Glass and Ocean Art Festival (18th Annual),Santa Cruz,Santa Cruz (The Grove),November,"November 7-8, 2026",Art Festival,Moderate,,https://www.santacruz.org/upcoming-events/category/festival/,https://www.santacruz.org/upcoming-event/sea-glass-ocean-art-festival/,https://allevents.in/santa-cruz/festivals,,,,
Santa Cruz Beach Boardwalk Winter Wonderland,Santa Cruz,Santa Cruz (Santa Cruz Beach Boardwalk),November-December,"November 26, 2026 - January 3, 2027",Holiday / Family,Very High,https://beachboardwalk.com/,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/santa-cruz-beach-boardwalk-winter-wonderland/,,,,,
A Taste of Ireland: A Celtic Christmas,Santa Cruz,Santa Cruz (Santa Cruz Civic Auditorium),December,"December 2, 2026",Holiday / Performance,Moderate,,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/santa-cruz-civic-center-a-taste-of-ireland/,,,,,
Downtown Boulder Creek Market & Ugly Sweater Contest,Santa Cruz,Boulder Creek,December,"December 4, 2026",Holiday / Market,Local,,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/downtown-boulder-creek-ugly-sweater-contest/,,,,,
Santa Cruz Harbor Lighted Boat Parade,Santa Cruz,Santa Cruz (Santa Cruz Harbor),December,"December 5, 2026",Holiday / Parade,High,,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/santa-cruz-harbor-lighted-boat-parade/,,,,,
Hallcrest Vineyards Holiday Market,Santa Cruz,Felton (Hallcrest Vineyards),December,"December 6, 2026",Holiday / Market,Local,,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/hallcrest-vineyards-holiday-market/,,,,,
Downtown Santa Cruz Holiday Parade,Santa Cruz,"Santa Cruz (Pacific Avenue, Downtown)",December,,Holiday / Parade,High,https://www.santacruzca.gov/Government/City-Departments/Parks-Recreation/Santa-Cruz-Holiday-Parade,https://downtownsantacruz.com/events/downtown-holiday-parade,https://downtownsantacruz.com/events/holidays,,,,,
Hotel Paradox Holiday Market,Santa Cruz,Santa Cruz (Hotel Paradox),December,"December 20, 2026",Holiday / Market,Local,,https://www.santacruz.org/upcoming-events/category/holiday/,https://www.santacruz.org/upcoming-event/hotel-paradox-holiday-market/,,,,,
